Date,Total Rainfall,Rainfall Anomaly,Temperature Anomaly
1900-03-01,49.623333333333335,-23.790000000000003,
1900-06-01,36.32333333333333,8.943333333333333,
1900-09-01,21.74,2.65,
1900-12-01,17.646666666666665,-17.816666666666666,
1901-03-01,74.71666666666665,1.3033333333333321,
1901-06-01,22.046666666666667,-5.333333333333333,
1901-09-01,20.003333333333334,0.9133333333333334,
1901-12-01,18.206666666666667,-17.256666666666664,
1902-03-01,51.44333333333333,-21.97,
1902-06-01,9.736666666666666,-17.643333333333334,
1902-09-01,11.093333333333334,-7.996666666666667,
1902-12-01,34.233333333333334,-1.2300000000000002,
1903-03-01,65.72666666666667,-7.686666666666665,
1903-06-01,33.516666666666666,6.136666666666667,
1903-09-01,23.89,4.8,
1903-12-01,50.29333333333333,14.83,
1904-03-01,76.48333333333333,3.0700000000000003,
1904-06-01,33.61666666666667,6.236666666666667,
1904-09-01,23.74,4.6499999999999995,
1904-12-01,34.77,-0.6933333333333337,
1905-03-01,42.53666666666666,-30.876666666666665,
1905-06-01,31.23,3.85,
1905-09-01,13.973333333333334,-5.116666666666667,
1905-12-01,23.099999999999998,-12.363333333333335,
1906-03-01,65.68,-7.733333333333334,
1906-06-01,19.37,-8.01,
1906-09-01,30.38,11.29,
1906-12-01,48.21333333333334,12.75,
1907-03-01,67.01333333333334,-6.3999999999999995,
1907-06-01,25.080000000000002,-2.2999999999999994,
1907-09-01,15.626666666666667,-3.4633333333333334,
1907-12-01,45.81,10.346666666666668,
1908-03-01,73.78333333333335,0.3700000000000004,
1908-06-01,29.786666666666665,2.4066666666666667,
1908-09-01,19.156666666666666,0.06666666666666672,
1908-12-01,29.950000000000003,-5.513333333333333,
1909-03-01,54.96333333333334,-18.45,
1909-06-01,33.78666666666667,6.406666666666666,
1909-09-01,21.819999999999997,2.7300000000000004,
1909-12-01,37.10333333333333,1.64,
1910-03-01,78.10333333333334,4.6899999999999995,-0.7933333333333333
1910-06-01,33.123333333333335,5.743333333333332,-0.006666666666666672
1910-09-01,19.830000000000002,0.7400000000000002,0.3833333333333333
1910-12-01,47.46333333333333,12.0,-1.5433333333333332
1911-03-01,66.8,-6.613333333333333,-0.8466666666666667
1911-06-01,24.94,-2.44,-1.23
1911-09-01,15.466666666666667,-3.6233333333333335,-0.38666666666666666
1911-12-01,38.43666666666667,2.973333333333333,-0.21666666666666667
1912-03-01,60.27333333333333,-13.14,0.3333333333333333
1912-06-01,21.566666666666663,-5.8133333333333335,-0.7133333333333334
1912-09-01,18.98,-0.11000000000000017,-0.09000000000000001
1912-12-01,27.44666666666667,-8.016666666666667,-0.3433333333333333
1913-03-01,80.66666666666667,7.253333333333334,-0.9700000000000001
1913-06-01,24.743333333333336,-2.6366666666666667,-1.72
1913-09-01,13.346666666666666,-5.743333333333333,-0.69
1913-12-01,29.55,-5.913333333333331,-0.06666666666666667
1914-03-01,63.43,-9.983333333333333,0.10333333333333333
1914-06-01,23.38,-4.0,-0.04
1914-09-01,9.73,-9.36,-0.07333333333333335
1914-12-01,45.13333333333333,9.67,0.51
1915-03-01,53.31333333333333,-20.1,0.07666666666666667
1915-06-01,26.666666666666668,-0.7133333333333329,-0.05000000000000001
1915-09-01,19.506666666666664,0.4166666666666667,0.4566666666666667
1915-12-01,27.793333333333333,-7.670000000000001,-0.18000000000000002
1916-03-01,61.699999999999996,-11.713333333333333,-0.12666666666666668
1916-06-01,26.603333333333335,-0.7766666666666661,-0.18666666666666668
1916-09-01,25.95,6.859999999999999,-0.1433333333333333
1916-12-01,62.60999999999999,27.146666666666665,-1.83
1917-03-01,88.62333333333333,15.209999999999999,-1.873333333333333
1917-06-01,21.313333333333333,-6.066666666666666,-1.8333333333333333
1917-09-01,28.72,9.63,-0.10999999999999999
1917-12-01,54.01333333333334,18.55,-1.1266666666666667
1918-03-01,86.64333333333333,13.229999999999999,-1.3333333333333333
1918-06-01,21.61,-5.77,-0.34
1918-09-01,15.626666666666667,-3.4633333333333334,-0.5599999999999999
1918-12-01,19.733333333333334,-15.729999999999999,0.08
1919-03-01,59.196666666666665,-14.216666666666669,-0.35000000000000003
1919-06-01,21.463333333333335,-5.916666666666667,0.19999999999999998
1919-09-01,12.566666666666668,-6.523333333333333,-0.5399999999999999
1919-12-01,28.78,-6.683333333333334,0.09666666666666669
1920-03-01,54.14000000000001,-19.273333333333337,-0.7600000000000001
1920-06-01,32.82666666666667,5.446666666666666,-0.49
1920-09-01,31.823333333333334,12.733333333333334,-0.18333333333333335
1920-12-01,52.73,17.266666666666666,-0.6900000000000001
1921-03-01,81.51333333333334,8.1,-0.71
1921-06-01,42.82,15.439999999999998,0.48
1921-09-01,21.97666666666667,2.8866666666666667,-0.20999999999999996
1921-12-01,37.166666666666664,1.7033333333333338,-0.4633333333333334
1922-03-01,62.95666666666667,-10.456666666666665,-0.3566666666666667
1922-06-01,20.673333333333332,-6.706666666666667,-0.08666666666666667
1922-09-01,15.283333333333333,-3.8066666666666666,-1.1433333333333333
1922-12-01,39.82333333333333,4.36,-0.26999999999999996
1923-03-01,48.02,-25.39333333333333,0.3766666666666667
1923-06-01,37.88,10.499999999999998,0.15333333333333335
1923-09-01,15.706666666666665,-3.3833333333333333,-1.22
1923-12-01,35.50333333333334,0.040000000000000334,-0.82
1924-03-01,58.28666666666667,-15.126666666666665,-1.0366666666666666
1924-06-01,17.016666666666666,-10.363333333333335,-0.9700000000000001
1924-09-01,18.736666666666668,-0.35333333333333333,0.24
1924-12-01,42.38666666666666,6.923333333333335,-0.9533333333333333
1925-03-01,82.35666666666667,8.943333333333333,-0.9500000000000001
1925-06-01,21.173333333333332,-6.206666666666667,-0.4666666666666666
1925-09-01,14.476666666666667,-4.613333333333333,-1.5333333333333332
1925-12-01,22.45,-13.013333333333334,-0.11000000000000003
1926-03-01,61.616666666666674,-11.796666666666667,0.18999999999999995
1926-06-01,26.55666666666667,-0.8233333333333333,-0.77
1926-09-01,17.31,-1.7800000000000002,0.13999999999999999
1926-12-01,32.419999999999995,-3.0433333333333317,-0.2066666666666667
1927-03-01,69.61666666666667,-3.796666666666667,-0.5966666666666667
1927-06-01,20.013333333333335,-7.366666666666667,-0.8633333333333333
1927-09-01,14.49,-4.6000000000000005,-0.3766666666666667
1927-12-01,35.123333333333335,-0.34,-0.19666666666666668
